Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,Name,Surname,Age,ID
Half-blood,9.0,,7,5,0,8.0,8,7,Gryffindor,,,,
Muggle-born,6.0,8.0,5,7,5,6.0,4,9,Ravenclaw,,,,
Pure-blood,1.0,,7,7,1,4.0,4,6,Hufflepuff,,,,
Pure-blood,9.0,1.0,3,4,1,9.0,10,1,Gryffindor,,,,
Muggle-born,5.0,9.0,7,3,3,6.0,7,9,Ravenclaw,,,,
Half-blood,,6.0,2,8,10,9.0,7,3,Slytherin,,,,
Muggle-born,2.0,2.0,9,2,5,5.0,6,3,Hufflepuff,,,,
Half-blood,3.0,9.0,4,7,2,7.0,3,9,Ravenclaw,,,,
Half-blood,2.0,9.0,1,2,2,7.0,6,7,Ravenclaw,,,,
Pure-blood,6.0,6.0,7,7,9,5.0,9,2,Slytherin,,,,
Pure-blood,3.0,10.0,4,3,3,1.0,4,9,Ravenclaw,,,,
Pure-blood,,3.0,5,5,3,10.0,8,4,Gryffindor,,,,
Half-blood,4.0,7.0,7,3,1,1.0,5,1,Hufflepuff,,,,
Muggle-born,7.0,7.0,6,8,8,7.0,8,5,Slytherin,,,,
Pure-blood,4.0,3.0,7,8,10,7.0,8,3,Slytherin,,,,
Muggle-born,1.0,6.0,1,9,8,9.0,10,1,Slytherin,,,,
Muggle-born,2.0,3.0,7,9,7,6.0,9,2,Slytherin,,,,
Muggle-born,4.0,,4,3,0,4.0,5,10,Ravenclaw,,,,
Half-blood,5.0,1.0,6,9,8,9.0,9,4,Slytherin,,,,
Muggle-born,6.0,7.0,4,1,1,5.0,3,8,Ravenclaw,,,,
Half-blood,4.0,5.0,10,6,3,5.0,3,7,Hufflepuff,,,,
Muggle-born,3.0,10.0,7,1,2,7.0,5,9,Ravenclaw,,,,
Half-blood,2.0,2.0,8,6,4,5.0,1,2,Hufflepuff,,,,
Pure-blood,10.0,7.0,3,7,1,8.0,9,3,Gryffindor,,,,
Pure-blood,2.0,6.0,1,7,8,5.0,8,1,Slytherin,,,,
Half-blood,2.0,10.0,1,3,5,2.0,2,7,Ravenclaw,,,,
Half-blood,6.0,8.0,1,1,4,7.0,4,10,Ravenclaw,,,,
Half-blood,1.0,8.0,4,5,2,6.0,1,8,Ravenclaw,,,,
Pure-blood,3.0,5.0,7,5,1,5.0,5,2,Ravenclaw,,,,
Half-blood,1.0,3.0,9,1,0,4.0,2,4,Hufflepuff,,,,
Pure-blood,5.0,2.0,8,5,4,2.0,1,6,Gryffindor,,,,
Pure-blood,4.0,7.0,7,2,1,7.0,4,10,Ravenclaw,,,,
Pure-blood,6.0,3.0,10,2,5,4.0,6,2,Hufflepuff,,,,
Half-blood,10.0,7.0,2,7,1,7.0,9,4,Gryffindor,,,,
Pure-blood,3.0,3.0,5,7,8,7.0,10,2,Slytherin,,,,
Muggle-born,7.0,6.0,7,1,1,5.0,1,1,Hufflepuff,,,,
Pure-blood,3.0,7.0,8,3,1,5.0,2,1,Hufflepuff,,,,
Muggle-born,6.0,7.0,3,6,2,1.0,4,7,Ravenclaw,,,,
Pure-blood,7.0,5.0,7,7,0,6.0,9,2,Gryffindor,,,,
Half-blood,5.0,8.0,1,2,4,7.0,5,8,Ravenclaw,,,,
Muggle-born,4.0,5.0,4,9,10,7.0,7,4,Slytherin,,,,
Muggle-born,2.0,4.0,2,10,10,6.0,7,1,Slytherin,,,,
Muggle-born,2.0,8.0,5,4,5,7.0,4,9,Ravenclaw,,,,
Muggle-born,1.0,7.0,8,3,1,2.0,3,7,Hufflepuff,,,,
Half-blood,5.0,,5,6,2,6.0,7,7,Ravenclaw,,,,
Pure-blood,4.0,5.0,8,2,2,6.0,5,5,Hufflepuff,,,,
Pure-blood,2.0,3.0,7,4,0,,2,3,Hufflepuff,,,,
Pure-blood,6.0,8.0,1,2,1,1.0,7,10,Ravenclaw,,,,
Pure-blood,3.0,5.0,5,7,7,6.0,8,7,Slytherin,,,,
Pure-blood,5.0,3.0,2,8,10,9.0,9,5,Hufflepuff,,,,
Half-blood,5.0,10.0,3,7,2,0.0,2,10,Ravenclaw,,,,
Muggle-born,1.0,,7,4,5,1.0,3,7,Hufflepuff,,,,
Half-blood,5.0,4.0,2,8,8,5.0,9,3,Slytherin,,,,
Muggle-born,1.0,1.0,8,7,4,3.0,3,5,Hufflepuff,,,,
Muggle-born,,4.0,6,8,8,10.0,10,1,Slytherin,,,,
Pure-blood,7.0,7.0,7,3,0,7.0,2,7,Hufflepuff,,,,
Pure-blood,,2.0,9,2,2,7.0,3,4,Hufflepuff,,,,
Muggle-born,7.0,8.0,1,5,1,4.0,1,9,Ravenclaw,,,,
Half-blood,8.0,4.0,7,3,3,9.0,9,3,Gryffindor,,,,
Half-blood,2.0,9.0,3,5,2,4.0,4,10,Ravenclaw,,,,
Muggle-born,3.0,9.0,3,2,0,5.0,7,10,Ravenclaw,,,,
Pure-blood,,3.0,9,5,1,4.0,6,3,Hufflepuff,,,,
Half-blood,7.0,7.0,3,7,3,5.0,10,5,Gryffindor,,,,
Half-blood,4.0,1.0,10,2,5,2.0,6,6,Hufflepuff,,,,
