Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,id,name,surname,age
Pure-blood,,,,,7.0,,8.0,,,9717,Elio,Blackwood,
Muggle-born,3.0,7.0,6.0,2.0,5.0,3.0,3.0,10.0,Ravenclaw,17150,Mirek,Blackwood,18.0
,,,,,,,,,,4607,Yara,Blackwood,18.0
Muggle-born,2.0,9.0,1.0,2.0,3.0,0.0,5.0,8.0,Ravenclaw,14010,Theo,Blackwood,13.0
,,,9.0,2.0,,1.0,,,,19486,Bastian,Blackwood,17.0
,,,,,,,,,,19558,Bastian,Blackwood,11.0
,,,,2.0,,,,,Ravenclaw,532,Ronan,Blackwood,18.0
Pure-blood,8.0,2.0,5.0,3.0,4.0,6.0,7.0,7.0,Gryffindor,14286,Rowan,Blackwood,14.0
Pure-blood,7.530623626713696,45.83457487280869,31.374254483671777,36.640507505027,1.2174574328793888,6.758000184350933,42.90121722923186,2.0737193076156726,Hufflepuff,17173,Leif,Blackwood,14.0
Pure-blood,5.0,4.0,7.0,5.0,2.0,7.0,2.0,2.0,Hufflepuff,4899,Mirek,Blackwood,
Muggle-born,5.0,5.0,7.0,3.0,4.0,5.0,6.0,4.0,Hufflepuff,17006,Laziel,Blackwood,13.0
Half-blood,4.0,7.0,7.0,3.0,1.0,1.0,5.0,1.0,Hufflepuff,10038,Maia,Blackwood,15.0
Half-blood,14.921989926550276,17.921937022640318,28.685399813014413,56.35470343666475,26.5218099219354,10.58548791395083,65.08505617050383,6.430965601421461,Hufflepuff,5125,Evander,Blackwood,13.0
Muggle-born,77.80113927237413,38.57541627735237,14.184526046406692,17.358793724103702,0.0,13.512820983378004,73.76886844544225,21.981987950854855,Gryffindor,16714,Oswin,Blackwood,15.0
,6.0,,,,,,,,,11528,Eira,Blackwood,15.0
Muggle-born,7.0,7.0,4.0,9.0,10.0,6.0,7.0,3.0,Slytherin,1893,Galen,Blackwood,12.0
